,Base Website,Scraped Page,formated_number
9464,http://www.zdar.charita.cz,http://www.zdar.charita.cz,+420110889787
17453,https://www.zdar.charita.cz,https://www.zdar.charita.cz,+420110889787
9778,https://www.czplk.cz,https://www.czplk.cz,+420111213141
4552,http://www.motylek.org,http://www.motylek.org,+420113527036
4339,http://www.nadeje.cz/,http://www.nadeje.cz/,+420114875148
3829,http://www.nadeje.cz,http://www.nadeje.cz,+420114875148
16135,https://www.pelhrimov.charita.cz,https://www.pelhrimov.charita.cz,+420115451000
8001,http://www.pontis.cz,http://www.pontis.cz,+420115720555
11109,https://www.melaops.cz,https://www.melaops.cz,+420115829895
6140,http://www.pdz.cz/,http://www.pdz.cz/,+420116556201
5818,http://www.pdz.cz,http://www.pdz.cz,+420116556201
16901,https://www.sos-vesnicky.cz,https://www.sos-vesnicky.cz,+420120777711
5835,http://www.pdz.cz,http://www.pdz.cz,+420121407932
6157,http://www.pdz.cz/,http://www.pdz.cz/,+420121407932
16097,https://www.olomouc.charita.cz,https://www.olomouc.charita.cz,+420122144381
15432,https://www.pointmilovice.cz,https://www.pointmilovice.cz,+420123396688
11732,https://www.portusprachatice.cz,https://www.portusprachatice.cz,+420123456789
16987,https://www.rodinavcentru.cz,https://www.rodinavcentru.cz,+420123456789
8487,https://klinika.podaneruce.cz/,https://klinika.podaneruce.cz/,+420123456789
16218,https://www.otrokovice.charita.cz,https://www.otrokovice.charita.cz,+420124883044
8060,http://www.prevcentrum.cz,http://www.prevcentrum.cz,+420127202283
13187,https://www.portimo.cz,https://www.portimo.cz,+420129738024
519,http://www.riaps.cz,http://www.riaps.cz,+420130371038
3257,http://obcanskaporadna.cz,http://obcanskaporadna.cz,+420135901885
17165,https://www.zlatestranky.cz,https://www.zlatestranky.cz,+420138728250
17470,https://www.zlin.charita.cz,https://www.zlin.charita.cz,+420140087831
506,http://jindrabachmanova.cz/,http://jindrabachmanova.cz/,+420141226001
9542,http://www.vkci.cz/,http://www.vkci.cz/,+420141975501
15767,https://www.pppaspcvysocina.cz/,https://www.pppaspcvysocina.cz/,+420145256942
824,http://www.intervencni-centrum.cz/,http://www.intervencni-centrum.cz/,+420145258001
11506,https://www.psychocentrum.cz/,https://www.psychocentrum.cz/,+420145258001
12245,https://www.psychocentrum.cz,https://www.psychocentrum.cz,+420145258001
3825,http://www.nadeje.cz,http://www.nadeje.cz,+420148881488
4335,http://www.nadeje.cz/,http://www.nadeje.cz/,+420148881488
5821,http://www.pdz.cz,http://www.pdz.cz,+420149251601
6143,http://www.pdz.cz/,http://www.pdz.cz/,+420149251601
16878,https://www.trebic.charita.cz,https://www.trebic.charita.cz,+420152043131
9013,http://www.trebic.charita.cz,http://www.trebic.charita.cz,+420152043131
13620,https://www.holesov.charita.cz,https://www.holesov.charita.cz,+420153271952
17216,https://www.vorjihlava.cz,https://www.vorjihlava.cz,+420153984370
17121,https://www.uhbrod.charita.cz,https://www.uhbrod.charita.cz,+420154009332
6156,http://www.pdz.cz/,http://www.pdz.cz/,+420155253002
5834,http://www.pdz.cz,http://www.pdz.cz,+420155253002
256,https://charita-sv-alexandra.cz,https://charita-sv-alexandra.cz,+420157117321
16057,https://www.pppsemily.cz/,https://www.pppsemily.cz/,+420159322503
16110,https://www.ostrava.charita.cz,https://www.ostrava.charita.cz,+420162824576
9541,http://www.vkci.cz/,http://www.vkci.cz/,+420162875501
12435,https://www.frydekmistek.cz,https://www.frydekmistek.cz,+420164769520
10213,https://www.vzajemnesouziti.cz,https://www.vzajemnesouziti.cz,+420166621035
2590,http://www.dumtriprani.cz/,http://www.dumtriprani.cz/,+420170285379
8778,https://jihoceskaruze.cz,https://jihoceskaruze.cz,+420171819202
14612,https://www.klinikaeset.cz/,https://www.klinikaeset.cz/,+420174300070
17613,https://www.valmez.charita.cz,https://www.valmez.charita.cz,+420176692136
8932,http://www.sternberk.caritas.cz/,http://www.sternberk.caritas.cz/,+420180286130
4283,http://www.kpppb.cz,http://www.kpppb.cz,+420181055023
5,http://www.ppporadnavize.cz/,http://www.ppporadnavize.cz/,+420181067226
15819,https://www.pppaspcvysocina.cz/,https://www.pppaspcvysocina.cz/,+420181456532
7818,http://www.sdruzenidrak.cz/,http://www.sdruzenidrak.cz/,+420183894687
15389,https://www.psychiatrie-maskova.cz,https://www.psychiatrie-maskova.cz,+420185158301
8854,http://www.tadyated.org/,http://www.tadyated.org/,+420185693404
17142,https://www.tisnov.charita.cz,https://www.tisnov.charita.cz,+420185897781
7959,http://www.prostorpro.cz,http://www.prostorpro.cz,+420186150009
6114,http://www.pppbruntal.cz/,http://www.pppbruntal.cz/,+420187089171
7952,http://www.psychologove.cz/,http://www.psychologove.cz/,+420190305736
16994,https://www.rodinavcentru.cz,https://www.rodinavcentru.cz,+420192021222
227,http://www.bkb.cz,http://www.bkb.cz,+420193760233
10976,https://www.bkb.cz/,https://www.bkb.cz/,+420193760233
14770,https://www.nemta.cz,https://www.nemta.cz,+420199229020
11845,https://www.bunkr.cz,https://www.bunkr.cz,+420200014310
87,http://www.bunkr.cz/,http://www.bunkr.cz/,+420200014310
7957,http://www.prostorpro.cz,http://www.prostorpro.cz,+420200015449
2436,http://www.domecek.org,http://www.domecek.org,+420200015630
4310,http://www.ditekrize.cz/,http://www.ditekrize.cz/,+420200017527
13314,https://www.ditekrize.cz/,https://www.ditekrize.cz/,+420200017527
17105,https://www.ulita.cz,https://www.ulita.cz,+420200018383
9381,http://www.ulita.cz/,http://www.ulita.cz/,+420200018383
3358,http://www.cheiront.cz,http://www.cheiront.cz,+420200041300
2686,http://www.cheiront.cz/,http://www.cheiront.cz/,+420200041300
3767,http://www.neposeda.org,http://www.neposeda.org,+420200072574
16551,https://www.neposeda.org,https://www.neposeda.org,+420200072574
14563,https://www.jahoda.cz,https://www.jahoda.cz,+420200107573
5144,http://www.jahoda.cz/,http://www.jahoda.cz/,+420200107573
17811,https://www.strediskokobylisy.cz,https://www.strediskokobylisy.cz,+420200119894
4591,http://www.kovarjakub.cz/,http://www.kovarjakub.cz/,+420200188582
9663,http://www.spirala-ul.cz/,http://www.spirala-ul.cz/,+420200258360
18022,https://www.spirala-ul.cz,https://www.spirala-ul.cz,+420200258360
10317,https://www.speczs.cz/,https://www.speczs.cz/,+420200280002
